"cntry" "essround" "m"
"215" "SK" 2 -0.406
"216" "SK" 3 -0.422
"217" "SK" 4 -0.628
"218" "SK" 5 -0.582
"219" "SK" 6 -0.521
"220" "SK" 9 -0.361
"221" "TR" 2 -0.548
"222" "TR" 4 -0.331
"223" "UA" 2 -0.608
"224" "UA" 3 -0.56
"225" "UA" 4 -0.622
"226" "UA" 5 -0.583
"227" "UA" 6 -0.472
"228" "XK" 6 -0.554
