"cntry" "essround" "m"
"216" "SK" 3 -0.768
"217" "SK" 4 -1.123
"218" "SK" 5 -1.046
"219" "SK" 6 -0.972
"220" "SK" 9 -0.72
"221" "TR" 2 -0.914
"222" "TR" 4 -0.549
"223" "UA" 2 -1.03
"224" "UA" 3 -0.911
"225" "UA" 4 -1.036
"226" "UA" 5 -0.95
"227" "UA" 6 -0.743
"228" "XK" 6 -0.837
