"cntry" "essround" "m"
"216" "SK" 3 0.157
"217" "SK" 4 0.359
"218" "SK" 5 0.283
"219" "SK" 6 0.283
"220" "SK" 9 0.127
"221" "TR" 2 0.11
"222" "TR" 4 0.089
"223" "UA" 2 0.255
"224" "UA" 3 0.176
"225" "UA" 4 0.289
"226" "UA" 5 0.21
"227" "UA" 6 0.095
"228" "XK" 6 -0.03
