"cntry" "essround" "m"
"213" "SI" 8 -0.65
"214" "SI" 9 -0.615
"215" "SK" 2 -0.49
"216" "SK" 3 -0.394
"217" "SK" 4 -0.435
"218" "SK" 5 -0.427
"219" "SK" 6 -0.413
"220" "SK" 9 -0.492
"221" "TR" 2 -0.256
"222" "TR" 4 -0.117
"223" "UA" 2 -0.452
"224" "UA" 3 -0.389
"225" "UA" 4 -0.361
"226" "UA" 5 -0.314
"227" "UA" 6 -0.233
"228" "XK" 6 -0.157
